"a","b","c","b2","a1","b1","c1","a0","b0","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD","equation"
13.485005172552,2.697469918701,-1.257385803227,NA,NA,NA,NA,NA,NA,"95 210",NA,NA,1
6.084887866781,0.871949820801,-0.41310410528,NA,NA,NA,NA,NA,NA,"950 210",NA,NA,1
2.045056850874,1.850051242907,-0.290769146728,NA,NA,NA,NA,NA,NA,"97 M220",NA,NA,1
0.044396757312,1.984376755703,0.349578528761,NA,NA,NA,NA,NA,NA,"970 230",NA,NA,1
0.253789985237,1.622158362726,-0.050499883357,NA,NA,NA,NA,NA,NA,"972 210",NA,NA,1
25.811510230051,2.654632369001,-1.500902066464,-0.037573714528,NA,NA,NA,NA,NA,NA,"1_111",NA,4
16.294487734613,NA,-0.859129789175,NA,1.985339013907,0.148348452554,0.618339172768,NA,NA,NA,"1_131",NA,3
20.786326457262,2.666534899752,-1.487746884702,NA,NA,NA,NA,NA,NA,NA,"105",NA,1
NA,NA,-1.163243204707,NA,NA,2.516175387511,NA,5.449179614537,2.824503256615,NA,"108",NA,2
2.195307738473,2.814921128662,-1.063846911125,NA,NA,NA,NA,NA,NA,NA,"110",NA,1
6.320403109915,2.828071285132,-1.251061938318,NA,NA,NA,NA,NA,NA,NA,"111",NA,1
