"a","b","c","SPCD_DIVISION","SPCD","JENKINS_SPGRPCD"
0.00333390991640438,1.94146345939426,0.965260454860262,"400 230",NA,NA
0.00291635287966385,1.92816004026908,1.00474707370625,"400 M220",NA,NA
0.00535547740546506,2.05666362156581,0.794460087710007,"400 M230",NA,NA
0.00475754396494312,1.9820900418902,0.873258573988238,"403 220",NA,NA
0.0036165772197516,1.87456258820305,0.990172164303837,"404 230",NA,NA
0.00551431382994663,1.83544076965989,0.925783507404495,"42 M240",NA,NA
0.0103309714457091,2.00208266321523,0.64636283707571,"421 220",NA,NA
0.00322210729400354,1.65366669247022,1.15884623928719,"43 230",NA,NA
0.00207733594845039,1.79087467764369,1.14958702650576,"460 230",NA,NA
0.00343201715730693,1.92280458274576,0.941679207630003,"461 230",NA,NA
0.00819444514725914,1.89348876909266,0.74743049119121,"491 230",NA,NA
0.00355214390917825,2.02359400884961,0.924118247674694,"521 230",NA,NA
0.00602782855137617,1.9881724374851,0.822901648712436,"531 210",NA,NA
0.0076623134535365,1.8837835406562,0.843069654451193,"531 220",NA,NA
0.0041249633507453,1.84765630273609,0.962373647202078,"531 230",NA,NA
0.00417828016604528,1.93046273446626,0.945666814201302,"531 M210",NA,NA
0.00358088196734237,1.80652265262915,1.02723531430511,"531 M220",NA,NA
0.00531213217335155,1.90822808365821,0.877861053095068,"540 230",NA,NA
0.00414895430957755,1.92495642385546,0.932232333950683,"540 M220",NA,NA
0.00412089173152807,1.76914930393926,1.0355317422598,"541 210",NA,NA
0.00472093762636151,1.85474920713728,0.950192799399877,"541 220",NA,NA
0.00826675854680328,1.93316232763814,0.778718857035529,"541 M210",NA,NA
0.00161276044864577,1.80130771719539,1.20907452183695,"541 M220",NA,NA
0.00505876658195275,1.91884267422957,0.888005383489958,"543 210",NA,NA
0.00710513075900559,1.70684084710661,0.899455404547259,"544 230",NA,NA
0.00646269011388174,2.09847986994473,0.7264996683608,"555 230",NA,NA
0.00454679510017062,1.91381432858647,0.915205827255445,"591 230",NA,NA
0.00487379047487521,1.93968374722351,0.895515095413185,"602 220",NA,NA
0.0026417707556326,1.78227741503985,1.11706292896775,"602 M220",NA,NA
0.00325628801090732,1.88326314454827,1.00394920025895,"611 230",NA,NA
0.00246916512124991,1.8358055173045,1.10422657229618,"621 220",NA,NA
0.00224399550830593,1.82981587005904,1.12025980579347,"621 230",NA,NA
0.00297122356905811,1.89588576991549,1.02087705448767,"621 M220",NA,NA
0.00284452455986607,1.95934866746765,0.999083419099975,"651 M220",NA,NA
0.00592871484432959,1.81680815223956,0.90742783310809,"653 230",NA,NA
0.00493753214641581,1.59314940035396,1.07453178352305,"68 220",NA,NA
0.00363493955210848,1.86126096825643,1.00114025746137,"68 230",NA,NA
0.00708422344396079,1.61231004007322,0.966564963148362,"691 230",NA,NA
0.00382298471124929,1.92503290668776,0.948377336265688,"693 220",NA,NA
0.00597171794735907,1.92633393939803,0.837521815246186,"693 230",NA,NA
0.00648069159818143,2.03452379579911,0.762108726749257,"693 M220",NA,NA
0.00422866086087567,1.7925354493939,1.01492649543832,"694 230",NA,NA
0.00335886344440735,1.78750927824023,1.05278715560076,"71 130",NA,NA
0.00288032224511859,1.75091039860676,1.11221548561318,"71 210",NA,NA
0.00349416423565451,1.76552638521662,1.04263379300623,"731 230",NA,NA
0.0144199711499306,2.16444767519347,0.49391033169651,"740 130",NA,NA
0.00419435226347082,1.99823596131258,0.903189400568001,"740 M330",NA,NA
0.00250241907113957,1.94978647710184,1.03179841396954,"741 130",NA,NA
0.00182576983572709,1.98123772198881,1.10457558200033,"741 210",NA,NA
0.00469448539124025,1.99749856028777,0.86439370025053,"743 130",NA,NA
0.0034169939885033,1.92785060775855,0.980944784692515,"743 210",NA,NA
0.00261610685116958,1.90727483715758,1.05625105302818,"746 130",NA,NA
0.00351443477935207,1.96982781691168,0.953306762996524,"746 210",NA,NA
0.00436123500648818,1.92606983952703,0.934693636671081,"746 220",NA,NA
0.00309647677736631,1.87411392875728,1.02753636671422,"746 M130",NA,NA
0.00308692139397055,1.93196752210386,1.00815614349887,"746 M330",NA,NA
0.00279232336055099,1.6909873839078,1.17223212134329,"762 210",NA,NA
0.00470142126883326,1.95676527016909,0.877864690245404,"762 220",NA,NA
0.00402725452694526,1.89123731760868,0.944504619977793,"762 230",NA,NA
0.00240692702230226,1.86490288234024,1.09474252645917,"762 M220",NA,NA
0.00512436170184049,1.91099106575793,0.89047399597489,"800 230",NA,NA
0.00257628562479285,1.70654768754975,1.17684185232803,"802 210",NA,NA
0.00531564316017252,1.87956006997393,0.906855176866426,"802 220",NA,NA
0.00262532924401923,1.82284809536894,1.09835063481496,"802 230",NA,NA
0.00350407362569744,1.82135796495073,1.03176670039334,"802 M220",NA,NA
0.00501676424608028,1.9827444228667,0.852148322408434,"802 M230",NA,NA
0.00461661168741616,1.89137890907386,0.938755214202705,"806 220",NA,NA
0.00311196570183105,1.82452989817528,1.05930599142924,"806 230",NA,NA
0.00433397541910347,1.89519467323263,0.940149527319725,"806 M220",NA,NA
0.00751799775375813,1.664394524994,0.948312016730523,"81 M260",NA,NA
0.00307432845108187,1.83137644342108,1.04834627907492,"812 230",NA,NA
0.00424412759991918,1.8953374863399,0.935289473835271,"813 230",NA,NA
0.00579389079317097,1.81458685808552,0.911356861014396,"820 230",NA,NA
0.00271133084240271,1.84896970659045,1.05569444209522,"822 230",NA,NA
0.00206350345077468,1.70628141590218,1.22024257131685,"825 230",NA,NA
0.00347723803999615,1.81462838690131,1.02924618437022,"827 230",NA,NA
0.00330675942990339,1.85728724022006,1.01154822328811,"828 230",NA,NA
0.00396936397406489,1.79531920668685,1.00559200949921,"831 230",NA,NA
0.00450577813349416,1.83640839014908,0.970938752967393,"832 220",NA,NA
0.00330325740876902,1.82344435713498,1.04554001738941,"832 230",NA,NA
0.00400692329362552,1.88481414357086,0.961733392934018,"832 M220",NA,NA
0.00440395028315266,1.78670987127152,1.01094087019998,"833 210",NA,NA
0.0025761997361222,1.84438022049443,1.09140625893685,"833 220",NA,NA
0.00346999933794987,1.85566781571841,1.0097574294392,"833 230",NA,NA
0.0038770069385526,1.84155983659397,0.991762598312199,"833 M220",NA,NA
0.00339654841079196,1.89252949065049,1.0014183935305,"835 220",NA,NA
0.00430205659868572,1.87293055931532,0.951103031386249,"835 230",NA,NA
0.00346478196180878,1.87202739588603,1.0144290702059,"837 220",NA,NA
0.00273827615687119,1.94351838232544,1.01325632055942,"837 230",NA,NA
0.00456514532883485,1.94577704499256,0.905805308820851,"837 M210",NA,NA
