"SPCD","COMMON_NAME","HWSW","DIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"108","lodgepole pine","Softwood","340","BIOMASS",1,7809746727.37403,9807084717.12496,1997337989.75093,25.5749393607099,"Total aboveground biomass"
"108","lodgepole pine","Softwood","340","CARBON",1,3904873377.69966,4934925029.65728,1030051651.95762,26.3786185191084,"Total aboveground carbon"
"108","lodgepole pine","Softwood","340","VMERIB",1,228664142.975608,223672474.675012,-4991668.30059645,-2.18296941341123,"Merchantable wood volume"
"108","lodgepole pine","Softwood","340","VSAWIB",1,180428778.621936,167596646.508826,-12832132.1131092,-7.11202071593979,"Sawlog wood volume"
"108","lodgepole pine","Softwood","340","WMERBCH",1,1027836387.3322,3184269806.31269,2156433418.98048,209.803179334564,"Top and limb weight"
"108","lodgepole pine","Softwood","340","WMEROB",1,5904649648.21376,5716717233.23249,-187932414.981275,-3.18278689131246,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","340","WSTPOB",1,287374414.903424,277623953.338346,-9750461.56507814,-3.39294699159454,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","340","BIOMASS",2,1531699243.87858,1999899546.39115,468200302.512563,30.5673783142298,"Total aboveground biomass"
"108","lodgepole pine","Softwood","340","CARBON",2,765849622.905241,1006349451.74403,240499828.838785,31.4030093697053,"Total aboveground carbon"
"108","lodgepole pine","Softwood","340","VMERIB",2,50217236.358296,50074487.084924,-142749.273372017,-0.284263499395929,"Merchantable wood volume"
"108","lodgepole pine","Softwood","340","WMERBCH",2,176942412.887727,491168265.381872,314225852.494145,177.586508155921,"Top and limb weight"
"108","lodgepole pine","Softwood","340","WMEROB",2,1273889971.71182,1422902203.50255,149012231.790723,11.6974177597524,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","340","WSTPOB",2,64106881.6099272,63766786.5456863,-340095.06424094,-0.5305125685419,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","260","BIOMASS",1,99576834.6117553,143223342.036339,43646507.4245833,43.8319892319922,"Total aboveground biomass"
"108","lodgepole pine","Softwood","260","CARBON",1,49788417.341901,72069985.7126856,22281568.3707846,44.7525138583443,"Total aboveground carbon"
"108","lodgepole pine","Softwood","260","VMERIB",1,2899585.9522826,2904390.84307202,4804.89078941848,0.165709548483499,"Merchantable wood volume"
"108","lodgepole pine","Softwood","260","WMERBCH",1,12923979.301576,69107798.5636587,56183819.2620826,434.725388760343,"Top and limb weight"
"108","lodgepole pine","Softwood","260","WMEROB",1,74874175.5291937,62131860.48598,-12742315.0432137,-17.0183043127405,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","260","WSTPOB",1,3621156.34173491,4146415.19700404,525258.855269136,14.5052796869158,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","260","VSAWIB",1,2365104.24220472,2306227.59162142,-58876.6505833063,-2.48938924266705,"Sawlog wood volume"
"108","lodgepole pine","Softwood","260","BIOMASS",2,35617474.1691715,42273314.6038891,6655840.43471757,18.6870085259401,"Total aboveground biomass"
"108","lodgepole pine","Softwood","260","CARBON",2,17808737.1386208,21271931.908677,3463194.77005619,19.4466050180827,"Total aboveground carbon"
"108","lodgepole pine","Softwood","260","VMERIB",2,1403935.50275324,1299528.21407955,-104407.288673692,-7.4367582035599,"Merchantable wood volume"
"108","lodgepole pine","Softwood","260","WMERBCH",2,1144641.79051806,8856654.55963961,7712012.76912154,673.749013272623,"Top and limb weight"
"108","lodgepole pine","Softwood","260","WMEROB",2,32398486.9675533,30459574.5270523,-1938912.44050099,-5.98457712683554,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","260","WSTPOB",2,2074345.41110012,2957085.51719719,882740.106097073,42.5551164899251,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M330","BIOMASS",1,773864303996.446,900018274325.054,126153970328.608,16.3018205746297,"Total aboveground biomass"
"108","lodgepole pine","Softwood","M330","CARBON",1,386932154117.845,452889195640.367,65957041522.522,17.0461515851262,"Total aboveground carbon"
"108","lodgepole pine","Softwood","M330","VMERIB",1,21485605096.3895,20043539442.8056,-1442065653.58387,-6.7117758476637,"Merchantable wood volume"
"108","lodgepole pine","Softwood","M330","VSAWIB",1,11631651687.772,9919013711.06516,-1712637976.70684,-14.7239448246829,"Sawlog wood volume"
"108","lodgepole pine","Softwood","M330","WMERBCH",1,102615101569.072,216436674980.837,113821573411.765,110.920879745122,"Top and limb weight"
"108","lodgepole pine","Softwood","M330","WMEROB",1,554868618932.419,564046851113.013,9178232180.59387,1.65412709737541,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M330","WSTPOB",1,32033001091.7112,27820834149.4038,-4212166942.30734,-13.1494608645872,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M330","BIOMASS",2,433448344979.983,549298316099.319,115849971119.337,26.7275149302247,"Total aboveground biomass"
"108","lodgepole pine","Softwood","M330","CARBON",2,216724172879.469,276406912661.177,59682739781.7088,27.5385707965772,"Total aboveground carbon"
"108","lodgepole pine","Softwood","M330","VMERIB",2,14169428992.2259,13191662846.0191,-977766146.20685,-6.90053316011041,"Merchantable wood volume"
"108","lodgepole pine","Softwood","M330","WMERBCH",2,46427247983.9473,139160846474.005,92733598490.0581,199.739598009604,"Top and limb weight"
"108","lodgepole pine","Softwood","M330","WMEROB",2,362566124128.613,386882729532.819,24316605404.2052,6.70680567928055,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","M330","WSTPOB",2,20230773378.0732,18264133441.7783,-1966639936.29491,-9.72103191283047,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","330","BIOMASS",1,3994960272.23924,4766419594.15957,771459321.920331,19.3108133585498,"Total aboveground biomass"
"108","lodgepole pine","Softwood","330","CARBON",1,1997480141.20059,2398462339.78109,400982198.580503,20.0744022586123,"Total aboveground carbon"
"108","lodgepole pine","Softwood","330","VMERIB",1,118720301.783391,123658622.173807,4938320.39041594,4.15962587378362,"Merchantable wood volume"
"108","lodgepole pine","Softwood","330","WMERBCH",1,560593277.20949,1204744772.68617,644151495.476681,114.905319357936,"Top and limb weight"
"108","lodgepole pine","Softwood","330","WMEROB",1,3065639322.01793,3190779411.88173,125140089.863805,4.08202259688633,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","330","WSTPOB",1,172127460.346842,161246922.318578,-10880538.0282637,-6.32120987920176,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","330","VSAWIB",1,66191227.1837419,66660387.0421147,469159.858372778,0.708794621786396,"Sawlog wood volume"
"108","lodgepole pine","Softwood","330","BIOMASS",2,1669218057.91819,2070576498.9355,401358441.017307,24.0446980017621,"Total aboveground biomass"
"108","lodgepole pine","Softwood","330","CARBON",2,834609030.40152,1041914094.26434,207305063.862822,24.8385838532193,"Total aboveground carbon"
"108","lodgepole pine","Softwood","330","VMERIB",2,54693327.1692712,58180294.7563128,3486967.58704159,6.37548996836437,"Merchantable wood volume"
"108","lodgepole pine","Softwood","330","WMERBCH",2,206424969.790099,488085623.696005,281660653.905905,136.446988071409,"Top and limb weight"
"108","lodgepole pine","Softwood","330","WMEROB",2,1385223438.75191,1510583356.56998,125359917.818069,9.04979762189264,"Merch bole wood and bark weight"
"108","lodgepole pine","Softwood","330","WSTPOB",2,77569649.3761843,71907518.6695167,-5662130.70666757,-7.29941510913414,"Stump wood and bark weight"
"108","lodgepole pine","Softwood","M240","BIOMASS",1,94801025348.6712,119885302219.844,25084276871.1724,26.4599214817712,"Total aboveground biomass"
