"VOLUME_REG","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","CARBON",2,262872304.035772,276831342.882985,13959038.8472131,5.31019762557925,"Total aboveground carbon"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","VMERIB",2,18115230.487125,17127580.9554342,-987649.531690799,-5.45203955529436,"Merchantable wood volume"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WMERBCH",2,44382588.1662467,79882144.7470128,35499556.5807661,79.9853231807777,"Top and limb weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WMEROB",2,446972388.858987,462818086.977489,15845698.1185023,3.54511788948586,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","WSTPOB",2,25439602.2055202,26293058.4388619,853456.233341757,3.354833249541,"Stump wood and bark weight"
"CA Mixed Conifer Group","103","knobcone pine","Softwood","VSAWIB",1,50703108.9001083,47824092.9572805,-2879015.94282781,-5.67818424803071,"Sawlog wood volume"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","BIOMASS",1,17105045166.6504,20756832063.5326,3651786896.88214,21.3491800887028,"Total aboveground biomass"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","CARBON",1,8552522597.70606,10444837894.3696,1892315296.66352,22.1258146359189,"Total aboveground carbon"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","VMERIB",1,526138385.467175,526790081.763095,651696.295919359,0.123864046783185,"Merchantable wood volume"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WMERBCH",1,2289288840.12103,5181029652.77677,2891740812.65574,126.316118873967,"Top and limb weight"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WMEROB",1,13586139008.4771,14362285682.4821,776146674.004967,5.71278325299547,"Merch bole wood and bark weight"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","WSTPOB",1,598090951.955089,525315901.327679,-72775050.6274102,-12.1678902497216,"Stump wood and bark weight"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","VSAWIB",1,465280496.88005,453722106.864371,-11558390.0156789,-2.48417676932174,"Sawlog wood volume"
"CA Mixed Conifer Group","108","lodgepole pine","Softwood","BIOMASS",2,3163675387.83258,3828792089.80826,665116701.975678,21.0235444677321,"Total aboveground biomass"
