"NF_REGION","SPCD","COMMON_NAME","HWSW","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"108","lodgepole pine","Softwood","WSTPOB",2,7975238378.0348,7188573261.16686,-786665116.867943,-9.86384455961286,"Stump wood and bark weight"
1,"119","western white pine","Softwood","BIOMASS",1,10375502758.0762,11231425052.1598,855922294.083637,8.24945367989419,"Total aboveground biomass"
1,"119","western white pine","Softwood","CARBON",1,5187751392.80318,5395576595.05756,207825202.25438,4.00607481967409,"Total aboveground carbon"
1,"119","western white pine","Softwood","VMERIB",1,313940294.380334,323981147.535692,10040853.1553581,3.19833208259459,"Merchantable wood volume"
1,"119","western white pine","Softwood","WMERBCH",1,1394177897.71646,1585276583.57625,191098685.859785,13.7069082914589,"Top and limb weight"
1,"119","western white pine","Softwood","WMEROB",1,8212467132.92045,8904981072.85018,692513939.929723,8.43247137213755,"Merch bole wood and bark weight"
1,"119","western white pine","Softwood","WSTPOB",1,360880624.942429,333024487.979348,-27856136.9630811,-7.71893391825203,"Stump wood and bark weight"
1,"119","western white pine","Softwood","VSAWIB",1,273861000.372256,270969845.830322,-2891154.54193354,-1.0557014463555,"Sawlog wood volume"
1,"119","western white pine","Softwood","BIOMASS",2,6280864705.51927,8821467383.19088,2540602677.67161,40.4498870265279,"Total aboveground biomass"
1,"119","western white pine","Softwood","CARBON",2,3140432355.83816,4237832930.8849,1097400575.04674,34.944251322804,"Total aboveground carbon"
1,"119","western white pine","Softwood","VMERIB",2,223523319.590568,240945513.922358,17422194.3317906,7.79435200036541,"Merchantable wood volume"
1,"119","western white pine","Softwood","WMERBCH",2,395246926.543348,1097353566.4416,702106639.898247,177.637469831469,"Top and limb weight"
1,"119","western white pine","Softwood","WMEROB",2,5598264076.29233,7398083527.77448,1799819451.48215,32.149598999877,"Merch bole wood and bark weight"
1,"119","western white pine","Softwood","WSTPOB",2,259826432.693366,293207140.665479,33380707.9721131,12.8473102702016,"Stump wood and bark weight"
1,"122","ponderosa pine","Softwood","BIOMASS",1,67195360459.5952,77624837794.8967,10429477335.3015,15.5211271492066,"Total aboveground biomass"
1,"122","ponderosa pine","Softwood","CARBON",1,33597680267.9603,39847416734.7136,6249736466.75327,18.6016904051355,"Total aboveground carbon"
1,"122","ponderosa pine","Softwood","VMERIB",1,1880577586.07946,2218632241.61682,338054655.537361,17.9761078745027,"Merchantable wood volume"
1,"122","ponderosa pine","Softwood","VSAWIB",1,1647712024.39735,2037199032.84684,389487008.449491,23.6380509872134,"Sawlog wood volume"
1,"122","ponderosa pine","Softwood","WMERBCH",1,9134116959.0395,14819723864.3645,5685606905.32499,62.2458299014693,"Top and limb weight"
1,"122","ponderosa pine","Softwood","WMEROB",1,55106640227.8217,59419463641.8162,4312823413.99453,7.82632255598322,"Merch bole wood and bark weight"
1,"122","ponderosa pine","Softwood","WSTPOB",1,2232410768.9115,1991480445.43794,-240930323.473564,-10.7923831415237,"Stump wood and bark weight"
1,"122","ponderosa pine","Softwood","BIOMASS",2,9122144649.47233,12236266099.196,3114121449.7237,34.1380406624427,"Total aboveground biomass"
1,"122","ponderosa pine","Softwood","CARBON",2,4561072330.69433,6281283264.25396,1720210933.55962,37.7150549002093,"Total aboveground carbon"
1,"122","ponderosa pine","Softwood","VMERIB",2,266816473.873621,339485142.593769,72668668.7201485,27.2354505196588,"Merchantable wood volume"
1,"122","ponderosa pine","Softwood","WMERBCH",2,913522928.533404,1869785130.31062,956262201.777212,104.678511278576,"Top and limb weight"
1,"122","ponderosa pine","Softwood","WMEROB",2,7805104748.68187,9877838338.53118,2072733589.84932,26.5561277726524,"Merch bole wood and bark weight"
1,"122","ponderosa pine","Softwood","WSTPOB",2,380475237.003372,444166470.723608,63691233.7202364,16.7399156438851,"Stump wood and bark weight"
1,"17","grand fir","Softwood","BIOMASS",1,227535023213.062,262360862920.729,34825839707.6666,15.3057051243737,"Total aboveground biomass"
1,"17","grand fir","Softwood","CARBON",1,113767511825.885,126129984849.14,12362473023.2552,10.8664352633248,"Total aboveground carbon"
1,"17","grand fir","Softwood","VMERIB",1,6980565088.52329,7016257514.12128,35692425.5979977,0.51131140739135,"Merchantable wood volume"
1,"17","grand fir","Softwood","WMERBCH",1,30388700995.4944,49871109018.0533,19482408022.5589,64.1106970167873,"Top and limb weight"
1,"17","grand fir","Softwood","WMEROB",1,182389938355.86,196297031568.908,13907093213.0484,7.6249234680448,"Merch bole wood and bark weight"
1,"17","grand fir","Softwood","WSTPOB",1,8383012105.957,6403290905.26709,-1979721200.68991,-23.6158695188227,"Stump wood and bark weight"
1,"17","grand fir","Softwood","VSAWIB",1,5934924122.50404,6025292404.52366,90368282.0196238,1.52265269368761,"Sawlog wood volume"
1,"17","grand fir","Softwood","BIOMASS",2,16116908876.1883,25857521110.837,9740612234.64875,60.4372234742848,"Total aboveground biomass"
1,"17","grand fir","Softwood","CARBON",2,8058454449.29034,12431003274.0349,4372548824.74455,54.2603901561994,"Total aboveground carbon"
1,"17","grand fir","Softwood","VMERIB",2,502307201.270888,642127536.458851,139820335.187963,27.8356222714315,"Merchantable wood volume"
1,"17","grand fir","Softwood","WMERBCH",2,1279025068.92938,3460597517.23098,2181572448.3016,170.565261095915,"Top and limb weight"
1,"17","grand fir","Softwood","WMEROB",2,13888652442.5026,21200467042.7291,7311814600.22652,52.6459613738379,"Merch bole wood and bark weight"
1,"17","grand fir","Softwood","WSTPOB",2,818971247.103736,1007152210.54878,188180963.445044,22.9777252999466,"Stump wood and bark weight"
1,"19","subalpine fir","Softwood","BIOMASS",1,179034460515.613,221346561215.229,42312100699.6155,23.6334952375973,"Total aboveground biomass"
1,"19","subalpine fir","Softwood","CARBON",1,89517230914.1125,106722244489.922,17205013575.81,19.2197785835415,"Total aboveground carbon"
1,"19","subalpine fir","Softwood","VMERIB",1,5604890417.62016,5243688346.24597,-361202071.374192,-6.44440915809303,"Merchantable wood volume"
1,"19","subalpine fir","Softwood","WMERBCH",1,23698629898.5814,61629683376.9029,37931053478.3215,160.055892009994,"Top and limb weight"
1,"19","subalpine fir","Softwood","WMEROB",1,127328070929.348,125103473507.813,-2224597421.5349,-1.74713824319956,"Merch bole wood and bark weight"
1,"19","subalpine fir","Softwood","WSTPOB",1,6688971961.04335,6663015172.31008,-25956788.7332621,-0.388053483920021,"Stump wood and bark weight"
1,"19","subalpine fir","Softwood","VSAWIB",1,3178923313.4104,3319888078.46,140964765.0496,4.43435563402663,"Sawlog wood volume"
1,"19","subalpine fir","Softwood","BIOMASS",2,54944705127.3648,74659897531.5035,19715192404.1387,35.8818786240418,"Total aboveground biomass"
1,"19","subalpine fir","Softwood","CARBON",2,27472352637.7393,35997269594.8144,8524916957.07513,31.0308952039451,"Total aboveground carbon"
