"TYPGRPCD","TYPGRPCD_MEANING","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
140,"Longleaf / slash pine group","WMERBCH",1,121463767160.02,173378977983.902,51915210823.8821,42.7413145810696,"Top and limb weight"
140,"Longleaf / slash pine group","WMEROB",1,706871848639.156,725455845980.356,18583997341.2001,2.62904759568192,"Merch bole wood and bark weight"
140,"Longleaf / slash pine group","WSTPOB",1,51989656832.1692,42356659436.4308,-9632997395.73837,-18.5286804774173,"Stump wood and bark weight"
140,"Longleaf / slash pine group","VSAWIB",1,11215807717.2813,10835802784.798,-380004932.483242,-3.38811918019717,"Sawlog wood volume"
140,"Longleaf / slash pine group","BIOMASS",2,13735753659.5595,22737672266.2978,9001918606.73827,65.5364010585129,"Total aboveground biomass"
140,"Longleaf / slash pine group","CARBON",2,6867876865.53366,11294379055.9478,4426502190.41411,64.4522649005029,"Total aboveground carbon"
140,"Longleaf / slash pine group","VMERIB",2,293733569.879861,291611021.293813,-2122548.58604771,-0.72261014868537,"Merchantable wood volume"
140,"Longleaf / slash pine group","WMERBCH",2,1134289597.25098,2818702215.25995,1684412618.00897,148.499344619862,"Top and limb weight"
140,"Longleaf / slash pine group","WMEROB",2,10599493100.1137,17390343612.767,6790850512.65331,64.0676912425223,"Merch bole wood and bark weight"
140,"Longleaf / slash pine group","WSTPOB",2,938842850.341194,1393053865.4243,454211015.083107,48.3798768790792,"Stump wood and bark weight"
160,"Loblolly / shortleaf pine group","BIOMASS",1,5548979164010.25,5875651542070.28,326672378060.032,5.88707162893627,"Total aboveground biomass"
160,"Loblolly / shortleaf pine group","CARBON",1,2774489594002.51,2793783627091.58,19294033089.0659,0.695408378203074,"Total aboveground carbon"
160,"Loblolly / shortleaf pine group","VMERIB",1,121663317729.52,122281657479.599,618339750.079025,0.508238441642458,"Merchantable wood volume"
160,"Loblolly / shortleaf pine group","WMERBCH",1,747914519759.651,993405545731.032,245491025971.381,32.8234068848232,"Top and limb weight"
160,"Loblolly / shortleaf pine group","WMEROB",1,4048690453656.15,4077852914883.29,29162461227.146,0.72029367423758,"Merch bole wood and bark weight"
160,"Loblolly / shortleaf pine group","WSTPOB",1,258632556045.945,210232017146.267,-48400538899.6776,-18.7140163789277,"Stump wood and bark weight"
160,"Loblolly / shortleaf pine group","BIOMASS",2,65975473960.9763,123375912132.854,57400438171.8778,87.0026916454279,"Total aboveground biomass"
160,"Loblolly / shortleaf pine group","CARBON",2,32987737251.0739,58742752475.1503,25755015224.0764,78.0745130472325,"Total aboveground carbon"
160,"Loblolly / shortleaf pine group","VMERIB",2,1599883710.61432,1631750085.38334,31866374.7690191,1.99179318831762,"Merchantable wood volume"
160,"Loblolly / shortleaf pine group","WMERBCH",2,4940858926.38136,15700736315.4326,10759877389.0513,217.773418536597,"Top and limb weight"
160,"Loblolly / shortleaf pine group","WMEROB",2,47647312315.0533,89737676492.1107,42090364177.0574,88.3373313876506,"Merch bole wood and bark weight"
160,"Loblolly / shortleaf pine group","WSTPOB",2,4254462652.48453,6438261049.41192,2183798396.92739,51.3295937773033,"Stump wood and bark weight"
160,"Loblolly / shortleaf pine group","VSAWIB",1,75520066842.0411,75764826088.6089,244759246.567795,0.324098291755669,"Sawlog wood volume"
170,"Other eastern softwoods group","BIOMASS",1,99675428102.6561,129208473260.321,29533045157.6647,29.629213257302,"Total aboveground biomass"
170,"Other eastern softwoods group","CARBON",1,49837714318.7139,65498602975.4752,15660888656.7613,31.4237698715664,"Total aboveground carbon"
170,"Other eastern softwoods group","VMERIB",1,2117068109.61102,2123767245.84197,6699136.23095822,0.316434610702681,"Merchantable wood volume"
170,"Other eastern softwoods group","WMERBCH",1,13313464187.743,33464244547.711,20150780359.9679,151.356401878631,"Top and limb weight"
170,"Other eastern softwoods group","WMEROB",1,69032749884.4984,72526789002.6802,3494039118.18179,5.06142247560443,"Merch bole wood and bark weight"
170,"Other eastern softwoods group","WSTPOB",1,5628496621.32028,7199765820.67034,1571269199.35006,27.9163212677116,"Stump wood and bark weight"
170,"Other eastern softwoods group","VSAWIB",1,449823059.234197,449053166.733944,-769892.500252664,-0.171154520527109,"Sawlog wood volume"
170,"Other eastern softwoods group","BIOMASS",2,4240438358.10343,8365880059.4257,4125441701.32227,97.2880950724962,"Total aboveground biomass"
170,"Other eastern softwoods group","CARBON",2,2120219192.80619,4100152257.93922,1979933065.13303,93.3834139343165,"Total aboveground carbon"
170,"Other eastern softwoods group","VMERIB",2,106374024.656025,113335436.384127,6961411.72810164,6.54427784472035,"Merchantable wood volume"
170,"Other eastern softwoods group","WMERBCH",2,381854400.091133,1599782861.49829,1217928461.40715,318.951008844335,"Top and limb weight"
170,"Other eastern softwoods group","WMEROB",2,3063566094.53472,5579044175.85319,2515478081.31847,82.1094764629361,"Merch bole wood and bark weight"
170,"Other eastern softwoods group","WSTPOB",2,300765402.61886,570447013.520495,269681610.901635,89.6651039492678,"Stump wood and bark weight"
180,"Pinyon / juniper group","BIOMASS",1,99471390963.3271,126169318501.386,26697927538.0585,26.8398051736318,"Total aboveground biomass"
180,"Pinyon / juniper group","CARBON",1,49735695690.263,63451943411.6328,13716247721.3698,27.5782765898961,"Total aboveground carbon"
180,"Pinyon / juniper group","VMERIB",1,2234903295.17528,2184118968.76845,-50784326.4068317,-2.27232768936648,"Merchantable wood volume"
180,"Pinyon / juniper group","VSAWIB",1,1558099774.60645,1512097471.32379,-46002303.2826669,-2.95246196889325,"Sawlog wood volume"
180,"Pinyon / juniper group","WMERBCH",1,14515810730.0354,42398627612.6001,27882816882.5647,192.085839372864,"Top and limb weight"
180,"Pinyon / juniper group","WMEROB",1,72568860263.7414,69862507266.9375,-2706352996.80382,-3.72935855264635,"Merch bole wood and bark weight"
180,"Pinyon / juniper group","WSTPOB",1,4076759354.30597,5677439410.29961,1600680055.99364,39.263540397668,"Stump wood and bark weight"
180,"Pinyon / juniper group","BIOMASS",2,13038277342.174,21851572323.1642,8813294980.99026,67.595547706924,"Total aboveground biomass"
180,"Pinyon / juniper group","CARBON",2,6519138690.92025,10996625103.9083,4477486412.988,68.6821775892599,"Total aboveground carbon"
180,"Pinyon / juniper group","VMERIB",2,384060558.311675,390978541.973701,6917983.66202515,1.8012741772903,"Merchantable wood volume"
180,"Pinyon / juniper group","WMERBCH",2,1124457395.29344,6495899631.85259,5371442236.55916,477.691930262723,"Top and limb weight"
180,"Pinyon / juniper group","WMEROB",2,10725139752.4746,13850555557.3592,3125415804.88459,29.1410263830219,"Merch bole wood and bark weight"
