"DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"10","13","WSTPOB",1,1529545047.05047,1999577091.69462,470032044.64415,30.7301864401148,"Stump wood and bark weight"
"10","13","VSAWIB",1,543409806.886993,448146036.76602,-95263770.1209728,-17.5307417925904,"Sawlog wood volume"
"10","13","BIOMASS",2,10004528122.7619,17751696704.4087,7747168581.64677,77.4366215635971,"Total aboveground biomass"
"10","13","CARBON",2,5002264082.66119,8998516826.95979,3996252744.2986,79.8888798804202,"Total aboveground carbon"
"10","13","VMERIB",2,322144538.354302,351758157.659529,29613619.305227,9.19264981381037,"Merchantable wood volume"
"10","13","WMERBCH",2,1118108187.8844,4392866405.86066,3274758217.97626,292.883841962781,"Top and limb weight"
"10","13","WMEROB",2,8109115941.05062,12175134435.5282,4066018494.47761,50.141328894982,"Merch bole wood and bark weight"
"10","13","WSTPOB",2,524043411.981949,928272919.433576,404229507.451626,77.1366452109029,"Stump wood and bark weight"
"210","211","BIOMASS",1,2538657643005.7,2806522222198.01,267864579192.313,10.5514258659615,"Total aboveground biomass"
"210","211","CARBON",1,1269328823952.48,1360160461315.02,90831637362.5459,7.15587920549314,"Total aboveground carbon"
"210","211","VMERIB",1,55808520551.2436,55691519794.9043,-117000756.339279,-0.209646762149605,"Merchantable wood volume"
"210","211","WMERBCH",1,449175624337.238,728926627093.998,279751002756.76,62.2809848975075,"Top and limb weight"
"210","211","WMEROB",1,1885376456917.28,1857180954256.37,-28195502660.9165,-1.49548396859787,"Merch bole wood and bark weight"
"210","211","WSTPOB",1,108063605225.073,97119526153.6719,-10944079071.4014,-10.1274421194881,"Stump wood and bark weight"
"210","211","VSAWIB",1,30220515439.0188,30655349828.2337,434834389.214836,1.43887151790073,"Sawlog wood volume"
"210","211","BIOMASS",2,28888533644.9409,52978011139.8711,24089477494.9303,83.3876782774988,"Total aboveground biomass"
"210","211","CARBON",2,14444266984.1544,25841929105.8339,11397662121.6796,78.907861050914,"Total aboveground carbon"
"210","211","VMERIB",2,600607313.786009,1127925939.84329,527318626.057276,87.7975698852638,"Merchantable wood volume"
"210","211","WMERBCH",2,2461783827.00566,6272835864.56802,3811052037.56236,154.808557752118,"Top and limb weight"
"210","211","WMEROB",2,17008610104.7962,35632537897.2193,18623927792.4232,109.497058711291,"Merch bole wood and bark weight"
"210","211","WSTPOB",2,1333680273.54512,2761234055.75223,1427553782.20711,107.038681648373,"Stump wood and bark weight"
"210","212","BIOMASS",1,2815384015491.05,3599612834586.65,784228819095.604,27.8551279250203,"Total aboveground biomass"
"210","212","CARBON",1,1407692012006.79,1760794280920.16,353102268913.37,25.0837730058574,"Total aboveground carbon"
"210","212","VMERIB",1,64795773213.2207,74521052346.6051,9725279133.38432,15.0091258289052,"Merchantable wood volume"
"210","212","WMERBCH",1,508970144150.18,892449534944.882,383479390794.702,75.344181815417,"Top and limb weight"
"210","212","WMEROB",1,2035294961456.26,2377769557858.62,342474596402.359,16.8267795522531,"Merch bole wood and bark weight"
"210","212","WSTPOB",1,119097634387.215,127481139753.804,8383505366.58882,7.03918714231725,"Stump wood and bark weight"
"210","212","VSAWIB",1,30369127724.6486,35732470662.8312,5363342938.18263,17.660510327498,"Sawlog wood volume"
"210","212","BIOMASS",2,55512759188.5663,90192486174.3216,34679726985.7553,62.4716326348594,"Total aboveground biomass"
"210","212","CARBON",2,27756379947.8606,44061295196.5993,16304915248.7388,58.7429458717851,"Total aboveground carbon"
"210","212","VMERIB",2,1641871699.41559,1892473861.8585,250602162.442911,15.263200074166,"Merchantable wood volume"
"210","212","WMERBCH",2,3841495351.84968,10304154148.7908,6462658796.94114,168.232893834672,"Top and limb weight"
"210","212","WMEROB",2,34131768744.936,59298880081.6352,25167111336.6991,73.7351513329734,"Merch bole wood and bark weight"
"210","212","WSTPOB",2,3046038640.87174,4534632052.4542,1488593411.58246,48.869813783992,"Stump wood and bark weight"
"220","223","BIOMASS",1,3081820037931.96,3908439977857.83,826619939925.862,26.8224597721988,"Total aboveground biomass"
"220","223","CARBON",1,1540910022122.23,1868091725324.96,327181703202.731,21.2330180546246,"Total aboveground carbon"
"220","223","VMERIB",1,57950640540.4644,68555585343.4326,10604944802.9682,18.2999613189145,"Merchantable wood volume"
"220","223","VSAWIB",1,31615983465.4131,38043129706.1734,6427146240.76032,20.3287879619226,"Sawlog wood volume"
"220","223","WMERBCH",1,545015014145.282,1031105158327.74,486090144182.456,89.1883951022459,"Top and limb weight"
"220","223","WMEROB",1,2260533160712.09,2562382574411.38,301849413699.29,13.3530186128393,"Merch bole wood and bark weight"
"220","223","WSTPOB",1,133274899340.894,144809480586.046,11534581245.1523,8.65472891159262,"Stump wood and bark weight"
"220","223","BIOMASS",2,67078530794.9086,116878280040.135,49799749245.2261,74.2409660066765,"Total aboveground biomass"
"220","223","CARBON",2,33539265551.3394,55620638772.8038,22081373221.4644,65.8373785426634,"Total aboveground carbon"
"220","223","VMERIB",2,1694449027.96473,1935735965.9434,241286937.97867,14.2398463451267,"Merchantable wood volume"
"220","223","WMERBCH",2,6679092371.99762,16053409447.7468,9374317075.74914,140.353158088536,"Top and limb weight"
"220","223","WMEROB",2,48504190419.6551,86742000040.2297,38237809620.5746,78.8340332860803,"Merch bole wood and bark weight"
"220","223","WSTPOB",2,4487273113.09075,6532151258.62225,2044878145.5315,45.5706192601907,"Stump wood and bark weight"
"220","221","BIOMASS",1,4391123121794.54,4960243896507.49,569120774712.953,12.9607109372139,"Total aboveground biomass"
"220","221","CARBON",1,2195561564070.2,2375201046129.71,179639482059.516,8.18193782398409,"Total aboveground carbon"
"220","221","VMERIB",1,90262556900.2852,95410029572.6786,5147472672.39333,5.70277737432127,"Merchantable wood volume"
"220","221","WMERBCH",1,772783168834.722,1280555749415.94,507772580581.215,65.7069927321119,"Top and limb weight"
"220","221","WMEROB",1,3309454458223.29,3364727920323,55273462099.7041,1.67016838567944,"Merch bole wood and bark weight"
"220","221","WSTPOB",1,181235827662.306,163777110163.355,-17458717498.9504,-9.63314909868757,"Stump wood and bark weight"
"220","221","VSAWIB",1,54761152445.0984,59344337294.3491,4583184849.25064,8.36940905114365,"Sawlog wood volume"
