"SPCD","COMMON_NAME","HWSW","DIVISION","ECODIVISION","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
"101","whitebark pine","Softwood","M240","M242","WMEROB",2,3827960515.01536,3843795151.72252,15834636.7071614,0.413657263314219,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","M240","M242","WSTPOB",2,233356701.086253,251241461.827303,17884760.7410496,7.66412991690308,"Stump wood and bark weight"
"101","whitebark pine","Softwood","340","342","BIOMASS",2,88395773.0804188,97731299.729279,9335526.64886016,10.5610554934194,"Total aboveground biomass"
"101","whitebark pine","Softwood","340","342","CARBON",2,44197886.6187033,46710674.7056089,2512788.08690568,5.68531275846647,"Total aboveground carbon"
"101","whitebark pine","Softwood","340","342","VMERIB",2,2541319.19706068,2067378.59167139,-473940.605389293,-18.6493930371855,"Merchantable wood volume"
"101","whitebark pine","Softwood","340","342","WMERBCH",2,10768773.2299557,42881202.0743738,32112428.8444182,298.199508511244,"Top and limb weight"
"101","whitebark pine","Softwood","340","342","WMEROB",2,73222615.1639602,50485276.0269623,-22737339.1369979,-31.0523450795692,"Merch bole wood and bark weight"
"101","whitebark pine","Softwood","340","342","WSTPOB",2,4404384.686503,4364821.6279429,-39563.0585600995,-0.898265282806434,"Stump wood and bark weight"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","BIOMASS",1,8782126818.22737,10097968193.4878,1315841375.26046,14.9831743778673,"Total aboveground biomass"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","CARBON",1,4391063422.87489,4826323898.07751,435260475.202619,9.9124160433476,"Total aboveground carbon"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","VMERIB",1,221579161.564355,193730590.737429,-27848570.8269254,-12.5682264660241,"Merchantable wood volume"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WMERBCH",1,1157033375.46793,4303103077.57412,3146069702.10619,271.908293123683,"Top and limb weight"
"102","Rocky Mountain bristlecone pine","Softwood","M330","M331","WMEROB",1,6837500403.18658,4845184541.38068,-1992315861.8059,-29.1380730431458,"Merch bole wood and bark weight"
